,Rank,Robot,Weapon,R_MK2,W_MK2
0,1,Blitz,Halo,True,True
1,1,Blitz,Gust,True,True
2,1,Blitz,Gust,True,True
3,1,Blitz,Halo,True,True
4,1,Haechi,Scourge,True,True
5,1,Haechi,Scourge,True,True
6,1,Haechi,Scourge,True,True
7,1,Haechi,,True,False
8,1,Bulwark,Dragoon,True,True
9,1,Bulwark,Dragoon,True,True
10,1,Bulwark,,True,False
11,1,Bulwark,,True,False
12,1,Spectre,Orkan,True,True
13,1,Spectre,Orkan,True,True
14,1,Spectre,Orkan,True,True
15,1,Spectre,Orkan,True,True
16,1,Inquisitor,Taran,True,True
17,1,Inquisitor,Taran,True,True
18,1,Inquisitor,Ember,True,True
19,1,Inquisitor,,True,False
20,2,Ares,Tulumbas,False,True
21,2,Ares,Halo,False,True
22,2,Ares,Halo,False,True
23,2,Ares,Tulumbas,False,True
24,2,Ares,Pulsar,True,True
25,2,Ares,Halo,True,True
26,2,Ares,Halo,True,True
27,2,Ares,Pulsar,True,True
28,2,Ares,Corona,True,False
29,2,Ares,Halo,True,False
30,2,Ares,Halo,True,True
31,2,Ares,Corona,True,True
32,2,Mercury,Ecu,True,False
33,2,Mercury,Ember,True,True
34,2,Mercury,Halo,True,True
35,2,Mercury,,True,False
36,2,Strider,Halo,True,True
37,2,Strider,Halo,True,False
38,2,Strider,Ember,True,True
39,2,Strider,,True,False
40,3,Falcon,Redeemer,True,True
41,3,Falcon,Ember,True,True
42,3,Falcon,Redeemer,True,True
43,3,Falcon,,True,False
44,3,Mercury,Halo,False,False
45,3,Mercury,Ember,False,True
46,3,Mercury,Halo,False,False
47,3,Mercury,,False,False
48,3,Ares,Pulsar,False,False
49,3,Ares,Halo,False,True
50,3,Ares,Halo,False,True
51,3,Ares,Pulsar,False,False
52,3,Mercury,Halo,True,True
53,3,Mercury,Avenger,True,True
54,3,Mercury,Halo,True,True
55,3,Mercury,,True,False
56,3,Ao Jun,Dragoon,False,True
57,3,Ao Jun,Dragoon,False,True
58,3,Ao Jun,,False,False
59,3,Ao Jun,,False,False
60,4,Ares,Corona,False,False
61,4,Ares,Halo,False,True
62,4,Ares,Halo,False,True
63,4,Ares,Corona,False,False
64,4,Mercury,Blaze,False,False
65,4,Mercury,Ember,False,True
66,4,Mercury,Blaze,False,False
67,4,Mercury,,False,False
68,4,Ao Jun,Avenger,False,True
69,4,Ao Jun,Avenger,False,True
70,4,Ao Jun,,False,False
71,4,Ao Jun,,False,False
72,4,Invader,Storm,False,True
73,4,Invader,Gust,False,True
74,4,Invader,Gust,False,True
75,4,Invader,,False,False
76,4,Falcon,Dragoon,True,True
77,4,Falcon,Ember,True,True
78,4,Falcon,Dragoon,True,True
79,4,Falcon,,True,False
80,5,Hellburner,Halo,True,False
81,5,Hellburner,Ember,True,True
82,5,Hellburner,,True,False
83,5,Hellburner,,True,False
84,5,Falcon,Tempest,True,False
85,5,Falcon,Avenger,True,True
86,5,Falcon,Tempest,True,False
87,5,Falcon,,True,False
88,5,Invader,Storm,False,True
89,5,Invader,Gust,False,True
90,5,Invader,Gust,False,True
91,5,Invader,,False,False
92,5,Ares,Taran,True,True
93,5,Ares,Halo,True,False
94,5,Ares,Halo,True,False
95,5,Ares,Taran,True,True
96,5,Ares,Pulsar,False,False
97,5,Ares,Halo,False,False
98,5,Ares,Halo,False,False
99,5,Ares,Pulsar,False,False
100,6,Ao Jun,Redeemer,True,True
101,6,Ao Jun,Avenger,True,True
102,6,Ao Jun,,True,False
103,6,Ao Jun,,True,False
104,6,Ares,Corona,True,True
105,6,Ares,Halo,True,True
106,6,Ares,Halo,True,False
107,6,Ares,Corona,True,True
108,6,Invader,Storm,True,True
109,6,Invader,Gust,True,True
110,6,Invader,Halo,True,True
111,6,Invader,,True,False
112,6,Ao Jun,Glory,True,True
113,6,Ao Jun,Ember,True,True
114,6,Ao Jun,,True,False
115,6,Ao Jun,,True,False
116,6,Ares,Scourge,True,True
117,6,Ares,Shredder,True,True
118,6,Ares,Shredder,True,False
