,Rank,Robot,Weapon,R_MK2,W_MK2
0,1,Blitz,Halo,True,True
1,1,Blitz,Gust,True,True
2,1,Blitz,Gust,True,True
3,1,Blitz,Halo,True,True
4,1,Haechi,Scourge,True,True
5,1,Haechi,Scourge,True,True
6,1,Haechi,Scourge,True,True
7,1,Haechi,,True,False
8,1,Bulwark,Dragoon,True,True
9,1,Bulwark,Dragoon,True,True
10,1,Bulwark,,True,False
11,1,Bulwark,,True,False
12,1,Spectre,Orkan,True,True
13,1,Spectre,Orkan,True,True
14,1,Spectre,Orkan,True,True
15,1,Spectre,Orkan,True,True
16,1,Falcon,Trident,True,True
17,1,Falcon,Ember,True,True
18,1,Falcon,Trident,True,True
19,1,Falcon,,True,False
20,2,Hellburner,Halo,True,True
21,2,Hellburner,Avenger,True,True
22,2,Hellburner,,True,False
23,2,Hellburner,,True,False
24,2,Mercury,Blaze,False,True
25,2,Mercury,Ember,False,True
26,2,Mercury,Halo,False,True
27,2,Mercury,,False,False
28,2,Invader,Corona,True,True
29,2,Invader,Halo,True,True
30,2,Invader,Halo,True,True
31,2,Invader,,True,False
32,2,Ao Jun,Glory,True,True
33,2,Ao Jun,Ember,True,True
34,2,Ao Jun,,True,False
35,2,Ao Jun,,True,False
36,2,Ares,Scourge,True,True
37,2,Ares,Shredder,True,True
38,2,Ares,Shredder,True,True
39,2,Ares,Scourge,True,True
40,3,Ares,Scourge,True,True
41,3,Ares,Spark,True,False
42,3,Ares,Spark,True,True
43,3,Ares,Scourge,True,True
44,3,Ao Jun,Avenger,True,True
45,3,Ao Jun,Avenger,True,True
46,3,Ao Jun,,True,False
47,3,Ao Jun,,True,False
48,3,Ao Jun,Ember,True,True
49,3,Ao Jun,Ember,True,True
50,3,Ao Jun,,True,False
51,3,Ao Jun,,True,False
52,3,Invader,Storm,True,True
53,3,Invader,Gust,True,True
54,3,Invader,Gust,True,True
55,3,Invader,,True,False
56,3,Hellburner,Ecu,True,False
57,3,Hellburner,Avenger,True,True
58,3,Hellburner,,True,False
59,3,Hellburner,,True,False
60,4,Hellburner,Blaze,True,False
61,4,Hellburner,Ember,True,True
62,4,Hellburner,,True,False
63,4,Hellburner,,True,False
64,4,Invader,Corona,True,False
65,4,Invader,Halo,True,False
66,4,Invader,Halo,True,False
67,4,Invader,,True,False
68,4,Mercury,Halo,False,False
69,4,Mercury,Ember,False,True
70,4,Mercury,Halo,False,False
71,4,Mercury,,False,False
72,4,Nemesis,Storm,False,True
73,4,Nemesis,Storm,False,True
74,4,Nemesis,,False,False
75,4,Nemesis,,False,False
76,4,Ares,Taran,True,True
77,4,Ares,Halo,True,False
78,4,Ares,Halo,True,False
79,4,Ares,Taran,True,True
80,5,Invader,Storm,True,True
81,5,Invader,Gust,True,True
82,5,Invader,Gust,True,True
83,5,Invader,,True,False
84,5,Ares,Scourge,False,True
85,5,Ares,Halo,False,True
86,5,Ares,Halo,False,True
87,5,Ares,Scourge,False,True
88,5,Mercury,Halo,False,True
89,5,Mercury,Ember,False,True
90,5,Mercury,Halo,False,True
91,5,Mercury,,False,False
92,5,Ares,Scourge,True,True
93,5,Ares,Halo,True,False
94,5,Ares,Shredder,True,True
95,5,Ares,Scourge,True,True
96,5,Hellburner,Gust,False,True
97,5,Hellburner,Avenger,False,True
98,5,Hellburner,,False,False
99,5,Hellburner,,False,False
100,6,Mercury,Halo,False,False
101,6,Mercury,Glory,False,False
102,6,Mercury,Halo,False,False
103,6,Mercury,,False,False
104,6,Strider,Halo,True,False
105,6,Strider,Halo,True,False
106,6,Strider,Ember,True,True
107,6,Strider,,True,False
108,6,Ao Jun,Avenger,True,True
109,6,Ao Jun,Avenger,True,True
110,6,Ao Jun,,True,False
111,6,Ao Jun,,True,False
112,6,Ares,Pulsar,True,False
113,6,Ares,Shredder,True,False
114,6,Ares,Shredder,True,False
115,6,Ares,Pulsar,True,False
116,6,Invader,Storm,True,True
117,6,Invader,Halo,True,False
118,6,Invader,Gust,True,True
119,6,Invader,,True,False
120,7,Ao Jun,Calamity,True,False
