,Rank,Robot,Weapon,R_MK2,W_MK2
1013,51,Ares,Halo,True,False
1014,51,Ares,Halo,True,False
1015,51,Ares,Corona,True,True
1016,51,Falcon,Trident,True,True
1017,51,Falcon,Avenger,True,True
1018,51,Falcon,Trident,True,True
1019,51,Falcon,,True,False
1020,52,Hellburner,Halo,True,True
1021,52,Hellburner,Avenger,True,True
1022,52,Hellburner,,True,False
1023,52,Hellburner,,True,False
1024,52,Bulwark,Dragoon,False,True
1025,52,Bulwark,Dragoon,False,True
1026,52,Bulwark,,False,False
1027,52,Bulwark,,False,False
1028,52,Mercury,Halo,False,False
1029,52,Mercury,Avenger,False,True
1030,52,Mercury,Halo,False,False
1031,52,Mercury,,False,False
1032,52,Falcon,Trident,True,True
1033,52,Falcon,Ember,True,True
1034,52,Falcon,Trident,True,True
1035,52,Falcon,,True,False
1036,52,Mender,Halo,False,True
1037,52,Mender,Taran,False,True
1038,52,Mender,Gust,False,True
1039,52,Mender,,False,False
1040,53,Hellburner,Ecu,False,False
1041,53,Hellburner,Ancile,False,False
1042,53,Hellburner,,False,False
1043,53,Hellburner,,False,False
1044,53,Hellburner,Ecu,True,True
1045,53,Hellburner,Ember,True,True
1046,53,Hellburner,,True,False
1047,53,Hellburner,,True,False
1048,53,Mender,Halo,True,False
1049,53,Mender,Corona,True,False
1050,53,Mender,Halo,True,False
1051,53,Mender,,True,False
1052,53,Spectre,Orkan,True,True
1053,53,Spectre,Orkan,True,True
1054,53,Spectre,Orkan,True,True
1055,53,Spectre,Orkan,True,True
1056,53,Spectre,Orkan,True,True
1057,53,Spectre,Orkan,True,True
1058,53,Spectre,Orkan,True,True
1059,53,Spectre,Orkan,True,True
1060,54,Hellburner,Halo,True,True
1061,54,Hellburner,Exodus,True,True
1062,54,Hellburner,,True,False
1063,54,Hellburner,,True,False
1064,54,Mercury,Halo,True,True
1065,54,Mercury,Ember,True,True
1066,54,Mercury,Halo,True,True
1067,54,Mercury,,True,False
1068,54,Ares,Corona,True,True
1069,54,Ares,Gust,True,True
1070,54,Ares,Gust,True,True
1071,54,Ares,Corona,True,False
1072,54,Hades,Punisher,True,True
1073,54,Hades,Avenger,True,True
1074,54,Hades,Punisher,True,True
1075,54,Hades,,True,False
1076,54,Mercury,Halo,False,True
1077,54,Mercury,Avenger,False,True
1078,54,Mercury,Halo,False,True
1079,54,Mercury,,False,False
1080,55,Mercury,Gust,True,True
1081,55,Mercury,Ember,True,True
1082,55,Mercury,Halo,True,True
1083,55,Mercury,,True,False
1084,55,Ares,Taran,True,True
1085,55,Ares,Halo,True,False
1086,55,Ares,Halo,True,False
1087,55,Ares,Taran,True,True
1088,55,Spectre,Tulumbas,True,True
1089,55,Spectre,Tulumbas,True,True
1090,55,Spectre,Tulumbas,True,True
1091,55,Spectre,Tulumbas,True,True
1092,55,Pursuer,Gust,True,True
1093,55,Pursuer,Halo,True,True
1094,55,Pursuer,Gust,True,True
1095,55,Pursuer,,True,False
1096,55,Hellburner,Ecu,True,True
1097,55,Hellburner,Ancile,True,True
1098,55,Hellburner,,True,False
1099,55,Hellburner,,True,False
1100,56,Hellburner,Ecu,True,True
1101,56,Hellburner,Ember,True,True
1102,56,Hellburner,,True,False
1103,56,Hellburner,,True,False
1104,56,Mercury,Halo,True,True
1105,56,Mercury,Viper,True,True
1106,56,Mercury,Halo,True,True
1107,56,Mercury,,True,False
1108,56,Ares,Corona,True,False
1109,56,Ares,Halo,True,True
1110,56,Ares,Halo,True,True
1111,56,Ares,Corona,True,False
1112,56,Ares,Scourge,True,True
1113,56,Ares,Halo,True,False
1114,56,Ares,Halo,True,False
1115,56,Ares,Scourge,True,True
1116,56,Falcon,Trident,True,True
1117,56,Falcon,Ember,True,True
1118,56,Falcon,Trident,True,True
1119,56,Falcon,,True,False
1120,57,Hellburner,Halo,True,False
1121,57,Hellburner,Ember,True,True
1122,57,Hellburner,,True,False
1123,57,Hellburner,,True,False
1124,57,Spectre,Taran,True,True
1125,57,Spectre,Taran,True,True
1126,57,Spectre,Taran,True,True
1127,57,Spectre,Taran,True,True
1128,57,Spectre,Orkan,True,True
1129,57,Spectre,Orkan,True,True
1130,57,Spectre,Orkan,True,True
1131,57,Spectre,Orkan,True,True
1132,57,Mercury,Halo,True,False
1133,57,Mercury,Avenger,True,True
1134,57,Mercury,Halo,True,False
1135,57,Mercury,,True,False
1136,57,Ares,Corona,True,True
1137,57,Ares,Halo,True,True
1138,57,Ares,Halo,True,False
1139,57,Ares,Corona,True,True
1140,58,Ares,Taran,False,True
1141,58,Ares,Halo,False,False
1142,58,Ares,Halo,False,False
1143,58,Ares,Taran,False,True
1144,58,Mercury,Halo,False,False
1145,58,Mercury,Avenger,False,True
1146,58,Mercury,Halo,False,False
1147,58,Mercury,,False,False
1148,58,Hellburner,Spark,True,False
1149,58,Hellburner,Ember,True,True
1150,58,Hellburner,,True,False
1151,58,Hellburner,,True,False
1152,58,Mender,Halo,True,False
1153,58,Mender,Taran,True,True
1154,58,Mender,Halo,True,False
1155,58,Mender,,True,False
1156,58,Bulwark,Dragoon,False,True
1157,58,Bulwark,Dragoon,False,True
