,Rank,Robot,Weapon,R_MK2,W_MK2
0,1,Invader,Corona,False,False
1,1,Invader,Gust,False,True
2,1,Invader,Gust,False,True
3,1,Invader,,False,False
4,1,Ares,Taran,False,True
5,1,Ares,Halo,False,True
6,1,Ares,Halo,False,False
7,1,Ares,Taran,False,True
8,1,Ao Jun,Ember,True,True
9,1,Ao Jun,Ember,True,True
10,1,Ao Jun,,True,False
11,1,Ao Jun,,True,False
12,1,Ares,Taran,False,True
13,1,Ares,Halo,False,False
14,1,Ares,Halo,False,False
15,1,Ares,Taran,False,True
16,1,Mender,Gust,True,True
17,1,Mender,Corona,True,False
18,1,Mender,Gust,True,True
19,1,Mender,,True,False
20,2,Mercury,Ecu,True,True
21,2,Mercury,Avenger,True,True
22,2,Mercury,Halo,True,False
23,2,Mercury,,True,False
24,2,Ares,Tulumbas,True,True
25,2,Ares,Halo,True,False
26,2,Ares,Halo,True,False
27,2,Ares,Tulumbas,True,True
28,2,Ares,Corona,True,False
29,2,Ares,Halo,True,False
30,2,Ares,Halo,True,False
31,2,Ares,Corona,True,False
32,2,Invader,Storm,True,True
33,2,Invader,Gust,True,True
34,2,Invader,Halo,True,False
35,2,Invader,,True,False
36,2,Ao Jun,Avenger,False,True
37,2,Ao Jun,Viper,False,True
38,2,Ao Jun,,False,False
39,2,Ao Jun,,False,False
40,3,Ao Jun,Avenger,True,True
41,3,Ao Jun,Avenger,True,True
42,3,Ao Jun,,True,False
43,3,Ao Jun,,True,False
44,3,Ares,Scourge,True,True
45,3,Ares,Halo,True,True
46,3,Ares,Halo,True,True
47,3,Ares,Scourge,True,True
48,3,Mercury,Halo,True,True
49,3,Mercury,Ember,True,True
50,3,Mercury,Halo,True,True
51,3,Mercury,,True,False
52,3,Ares,Scourge,True,True
53,3,Ares,Shredder,True,True
54,3,Ares,Shredder,True,True
55,3,Ares,Scourge,True,True
56,3,,Halo,False,True
57,3,,Glory,False,False
58,3,,,False,False
59,3,,,False,False
60,4,Ao Jun,Ember,False,True
61,4,Ao Jun,Avenger,False,False
62,4,Ao Jun,,False,False
63,4,Ao Jun,,False,False
64,4,Ares,Scourge,False,True
65,4,Ares,Halo,False,False
66,4,Ares,Halo,False,False
67,4,Ares,Scourge,False,True
68,4,Ares,Corona,False,False
69,4,Ares,Halo,False,False
70,4,Ares,Halo,False,False
71,4,Ares,Corona,False,False
72,4,Ares,Scourge,False,True
73,4,Ares,Shredder,False,False
74,4,Ares,Shredder,False,False
75,4,Ares,Scourge,False,True
76,4,Invader,Storm,False,False
77,4,Invader,Gust,False,True
78,4,Invader,Gust,False,False
79,4,Invader,,False,False
80,5,Ares,Corona,True,True
81,5,Ares,Halo,True,True
82,5,Ares,Halo,True,True
83,5,Ares,Corona,True,True
84,5,Ares,Corona,True,True
85,5,Ares,Halo,True,True
86,5,Ares,Halo,True,True
87,5,Ares,Corona,True,True
88,5,Ares,Corona,True,True
89,5,Ares,Halo,True,True
90,5,Ares,Halo,True,True
91,5,Ares,Corona,True,True
92,5,Ares,Corona,True,True
93,5,Ares,Halo,True,True
94,5,Ares,Halo,True,True
95,5,Ares,Corona,True,True
96,5,Ares,Corona,True,True
97,5,Ares,Halo,True,True
98,5,Ares,Halo,True,True
99,5,Ares,Corona,True,True
100,6,Tyr,Corona,True,True
101,6,Tyr,Blaze,True,False
102,6,Tyr,Blaze,True,True
103,6,Tyr,Corona,True,True
104,6,Ares,Storm,True,True
105,6,Ares,Halo,True,True
106,6,Ares,Halo,True,True
107,6,Ares,Storm,True,True
108,6,Ares,Tulumbas,True,True
109,6,Ares,Halo,True,True
110,6,Ares,Halo,True,True
111,6,Ares,Tulumbas,True,True
112,6,Ares,Pulsar,True,True
113,6,Ares,Shredder,True,True
114,6,Ares,Shredder,True,True
115,6,Ares,Pulsar,True,True
116,6,Ares,Corona,False,True
117,6,Ares,Halo,False,True
118,6,Ares,Halo,False,True
119,6,Ares,Corona,False,True
120,7,,Storm,True,True
121,7,,Halo,True,False
