Rank,Robot,Weapon
1,Mercury MKe +,Halo
1,Mercury MKe +,Ember MK2
1,Mercury MKe +,Halo
1,Mercury MKe +,a! y
1,Hellburner MKé,Halo MK2
1,Hellburner MKé,Exadus MK2
1,Hellburner MKé,~« ot
1,Hellburner MKé,a &
1,Ares MK2 ‘,Corona
1,Ares MK2 ‘,Halo MK2
1,Ares MK2 ‘,Halo MK2
1,Ares MK2 ‘,Carona MK2
1,Bulwark MK2,Dragoon MK2
1,Bulwark MK2,Dragoon MK2
1,Bulwark MK2,a vot
1,Bulwark MK2,1 # rey
1,Ares :,Pulsar
1,Ares :,Halo MK2
1,Ares :,Halo MK2
1,Ares :,Pulsar MK2
2,Mercury MKe +,Halo
2,Mercury MKe +,Avenger
2,Mercury MKe +,Halo
2,Mercury MKe +,at rT
2,Hellburner MKé,Halo
2,Hellburner MKé,Ember MK2
2,Hellburner MKé,_ wf A
2,Hellburner MKé,HCL
2,Mender MKe -,Spark
2,Mender MKe -,Corona
2,Mender MKe -,Spark
2,Mender MKe -,a.
2,Fury MK2,Trident MK2
2,Fury MK2,Trident MK2
2,Fury MK2,Trident MK2
2,Fury MK2,wae Off
2,Ares MK2 :,Pulsar
2,Ares MK2 :,Shredder
2,Ares MK2 :,Shredder
2,Ares MK2 :,Pulsar /
3,Hellburner MKé,Gust MK2
3,Hellburner MKé,Ember MK2
3,Hellburner MKé,~~ =}
3,Hellburner MKé,HL
3,Mender MKe «,Halo
3,Mender MKe «,Taran MK2
3,Mender MKe «,Halo
3,Mender MKe «,oe
3,Mercury MKe »,Halo
3,Mercury MKe »,Avenger MK2
3,Mercury MKe »,Halo
3,Mercury MKe »,at rT
3,Falcon MK2,Trident MK2
3,Falcon MK2,Avenger
3,Falcon MK2,Trident MK2
3,Falcon MK2,y i Ay
3,Ares MK2 :,Corona
3,Ares MK2 :,Halo
3,Ares MK2 :,Halo
3,Ares MK2 :,Carona
4,Mercury :,Gust MK2
4,Mercury :,Ember MKk2
4,Mercury :,Gust MK2
4,Mercury :,pn! 7.
4,Falcon MK2- «,Dragoon MK2
4,Falcon MK2- «,Avenger MK2
4,Falcon MK2- «,Dragoon MK2
4,Falcon MK2- «,. 7
4,Ares MK2 ‘,Taran MK2
4,Ares MK2 ‘,Halo
4,Ares MK2 ‘,Halo
4,Ares MK2 ‘,Taran MK2
4,Mercury MK2,Hala MK2
4,Mercury MK2,Avenger MK2
4,Mercury MK2,Halo MK2
4,Mercury MK2,a vo
4,Ares MK2 :,Taran MK2
4,Ares MK2 :,Halo
4,Ares MK2 :,Halo
4,Ares MK2 :,Taran MK2
5,Ares MK2 ;,Taran MK2
5,Ares MK2 ;,Halo
5,Ares MK2 ;,Halo
